scenario,step,version,refresh_ms,segments,rss_bytes,active_bytes,retained_bytes
rotating,74,after,106.964792,8,26869760,84730043,144240675
rotating,75,before,99.927167,4,27246592,67525343,769057272
rotating,75,after,73.84400000000001,9,26476544,85128660,144639292
rotating,76,before,93.722334,5,27213824,67917341,770681676
rotating,76,after,89.4065,9,27115520,85426313,145727348
rotating,77,before,99.24158399999999,6,29212672,68481103,772477950
rotating,77,after,121.770833,7,30179328,84934861,150277651
rotating,78,before,95.368,7,29097984,69124999,774354464
rotating,78,after,83.415083,8,28606464,85578757,150921547
rotating,79,before,101.294209,8,27590656,69534268,775996457
rotating,79,after,75.533083,9,25493504,85988026,151330816
rotating,80,before,1013.4125410000001,1,228114432,66328602,842324317
rotating,80,after,111.39575,8,25296896,86102432,152849795
rotating,81,before,105.627583,2,30113792,66843879,844071682
rotating,81,after,79.619542,9,27410432,86617709,153365072
rotating,82,before,99.168416,3,27541504,67193624,845653621
rotating,82,after,102.540875,8,25493504,86627854,155407492
rotating,83,before,103.63441700000001,4,28917760,67677985,847370282
rotating,83,after,75.59100000000001,9,27000832,87112215,155891853
rotating,84,before,104.108958,5,29900800,68122403,849047106
rotating,84,after,114.64366600000001,8,27918336,87158173,158559265
rotating,85,before,110.962125,6,27525120,68626949,850784164
rotating,85,after,77.509042,9,25444352,87662719,159063811
rotating,86,before,109.230458,7,28311552,68983594,852373427
rotating,86,after,101.92925,9,26804224,87925772,160187843
rotating,87,before,104.247833,8,28540928,69388251,854010808
rotating,87,after,92.336458,9,25853952,88185987,161620102
rotating,88,before,962.359417,1,228868096,66400409,920410475
rotating,88,after,106.470709,9,27017216,88403463,163232537
rotating,89,before,105.673083,2,28622848,66975191,922217345
rotating,89,after,139.445583,7,31162368,87687681,168796285
rotating,90,before,103.86287499999999,3,27443200,67316101,923790449
rotating,90,after,88.277333,8,26198016,88028591,169137195
rotating,91,before,102.406417,4,28409856,67760341,925466989
rotating,91,after,76.95545800000001,9,27459584,88472831,169581435
rotating,92,before,108.54875,5,29130752,68281211,927220265
rotating,92,after,104.22379099999999,8,27541504,88777138,171191444
rotating,93,before,107.6375,6,27492352,68674850,928846416
rotating,93,after,82.293917,9,25722880,89170777,171585083
rotating,94,before,106.840334,7,26247168,68986015,930390199
rotating,94,after,114.35695899999999,8,26886144,89190277,173398526
rotating,95,before,106.715417,8,28753920,69486131,932123039
rotating,95,after,80.64741599999999,9,27148288,89690393,173898642
rotating,96,before,965.7395,1,227393536,66472429,998594726
rotating,96,after,122.10837500000001,8,26804224,89740667,176396307
rotating,97,before,109.088084,2,25919488,66837804,1000192189
rotating,97,after,77.428625,9,25722880,90106042,176761682
rotating,98,before,102.417042,3,30015488,67431583,1002018162
rotating,98,after,107.11850000000001,9,28295168,90591067,178205649
rotating,99,before,107.753458,4,28442624,67913716,1003732595
rotating,99,after,96.954083,9,27836416,90922705,179869608
rotating,100,before,100.57904199999999,5,27312128,68294498,1005345783
rotating,100,after,107.983833,9,26902528,91147818,181657329
