id,family,pattern,matches,short_branch,hash,english,chromium_all,chromium_pairs,hash_change_pct,hash_ci_lo,hash_ci_hi,hash_clear_gain,hash_clear_regression,english_change_pct,english_ci_lo,english_ci_hi,english_clear_gain,english_clear_regression,chromium_all_change_pct,chromium_all_ci_lo,chromium_all_ci_hi,chromium_all_clear_gain,chromium_all_clear_regression
word:spec,word,spec,22370,False,34.563834,34.128041,34.443416,34.441333,-0.3544195936133643,-1.134308140100193,1.4344043895788028,False,False,0.9179899895221055,-0.4771010645516771,1.4666614309851722,False,False,-0.006047599924463576,-1.0016786133831834,0.6461432177023996,False,False
word:specific,word,specific,1533,False,15.047708,14.558291,14.818709,14.964208,-0.5549017830489555,-3.0111542857142903,2.4555272386583837,False,False,2.7882187545227533,0.1430165714189302,5.008591895165981,False,False,0.9818601606928157,-1.2983010988119825,3.576686437865395,False,False
word:stage,word,stage,12948,False,21.686291,18.793292,18.899,21.754625,0.3151022920424795,-0.974943034034137,1.3567978194913843,False,False,15.757393648755102,14.43944248192308,17.156268709383248,False,True,15.109926451134982,13.66451266826365,16.176920112169913,False,True
word:tensor,word,tensor,25893,False,36.275333,36.5905,37.180167,36.639084,1.0027502711001723,-0.3631532967798723,2.0247390549206212,False,False,0.13277763353876093,-0.4977707168535517,1.3343498730877146,False,False,-1.4553000797441262,-2.182451731904067,-0.3679468638475014,False,False
word:to,word,to,319549,True,191.137666,187.583042,187.100875,187.043042,-2.1422381499625387,-3.7713965998566246,2.593263457959516,False,False,-0.28787250395480024,-2.1339258149833507,3.6410226826081526,False,False,-0.03091006388932227,-2.767119899296566,3.653809026601751,False,False
word:token,word,token,78427,False,62.065875,62.29625,62.025625,62.274917,0.336806659053801,-0.983678307215019,2.2085513601672435,False,False,-0.034244436864172556,-1.2335577858977875,2.3903931578330484,False,False,0.401917755766279,-0.47459347012459574,2.2791760004648998,False,False
word:total,word,total,6710,False,17.268708,17.261375,16.992542,17.01925,-1.444566669376779,-3.2262325655452395,0.980266231699134,False,False,-1.4026982207385075,-2.5145800869630808,0.15724188141290618,False,False,0.15717483587800452,-1.7241648064250659,1.4100710764506141,False,False
word:triton,word,triton,4303,False,14.902709,14.697042,14.819917,15.179208,1.8553606595955063,0.6071466554796734,3.585077902128586,False,False,3.280700973706141,1.8758276134454688,5.068041063321127,False,False,2.4243792998300817,0.8362039421945466,3.9701352937746126,False,False
word:up,word,up,70661,True,84.888,84.135333,85.501208,84.441375,-0.5261344359626885,-1.1256764040909362,0.34874284210808515,False,False,0.3637496745867663,-0.23079110980083195,0.9847807040378465,False,False,-1.2395532470137915,-1.6986099006272681,-0.4740568564893688,False,False
word:use,word,use,41014,False,52.831292,52.868167,53.200917,52.766083,-0.12342874370740997,-1.2359621495491524,0.8793549921514598,False,False,-0.19309161976430733,-0.8370023613358923,1.0123630132911288,False,False,-0.817343054443953,-2.2508276610764266,0.6362560187920696,False,False
word:warm,word,warm,1685,False,11.1325,10.238084,10.187542,10.212,-8.268582977767803,-12.162917349316537,-6.851544069975091,True,False,-0.25477423314753667,-4.56378623061261,1.9556441263590463,False,False,0.24007753783983343,-4.189352053714234,2.467107326067053,False,False
word:world,word,world,4091,False,13.84225,13.620291,13.765125,13.894917,0.3804800520146534,-1.852163437943366,4.639173544763309,False,False,2.016300532785964,0.07352310230297476,6.048516168785967,False,False,0.9429046230964078,-1.1942768824736327,4.732804887968989,False,False
