repository,step,commit,current_phase,main_phase,current_ms,no_sync_ms,main_ms,rg_ms,middle_before_update_mib,middle_entering_merge_mib,middle_after_update_mib,base_after_mib,main_middle_after_mib
agentflow,3,3d849065c2f15ad341b10d3635adecda572a389d,incremental,incremental,23.741208,7.510375,8.056333,5.54525,0.7490072250366211,,0.7805585861206055,0.8180513381958008,0.7805585861206055
agentflow,4,96ee4e9aaf03f10f5c50e2b8842484f56c1ccd8b,incremental,incremental,26.974417,8.36425,8.686959,6.242417,0.7805585861206055,,0.8335647583007812,0.8180513381958008,0.8335647583007812
agentflow,5,7b91e44f4b9ae3f5878ead729dc7cf303f46b764,incremental,incremental,37.440208000000005,18.739708,19.415708,6.162,0.8335647583007812,,1.5973739624023438,0.8180513381958008,1.6503801345825195
agentflow,6,8e11dc763cf915bc01901a3d1ce301180dc91737,incremental,incremental,40.721042,19.212166999999997,20.519291,7.449333,1.5973739624023438,,2.202699661254883,0.8180513381958008,2.5895328521728516
agentflow,7,77eb240564d52e3845fdc221642f4ff6621eae1e,incremental,incremental,30.252791000000002,10.037333,10.023709,7.317333,2.202699661254883,,2.531355857849121,0.8180513381958008,2.91818904876709
agentflow,8,5ec17f27e93d7a63506dfe00a2f57dee2923fb6a,incremental,rebuild,28.576625,10.967416,25.614625,6.231125,2.531355857849121,,2.944559097290039,0.8180513381958008,0.0
agentflow,9,bf0821e6a40ab47986432a69bfa8ee5e72bb8dd7,incremental,incremental,27.0355,8.874417000000001,8.664542,6.166584,2.944559097290039,,3.0820484161376953,0.8180513381958008,0.11885547637939453
agentflow,10,b5ba13dc3366a4942555ddafd6fb52ad61243e4f,incremental,incremental,29.929625,10.672374999999999,10.693625,7.219417,3.0820484161376953,,3.499688148498535,0.8180513381958008,0.5309381484985352
agentflow,11,e7b93ba2184c382b934ab05f98bc0c8a637dcefc,middle_merge,incremental,50.018,26.525,18.468374999999998,6.077291000000001,3.499688148498535,4.27337646484375,3.362316131591797,0.8180513381958008,1.4472761154174805
agentflow,12,8125a4b669a2026a51d95e6cb86af7019083a17a,incremental,incremental,33.1245,12.581125,13.005958,7.338166,3.362316131591797,,3.9875049591064453,0.8180513381958008,2.0683116912841797
agentflow,13,bbf99f98124011bd4f0cda40c7df0b551191ab4b,incremental,incremental,26.952958,9.630875000000001,10.365124999999999,7.109,3.9875049591064453,,4.1549882888793945,0.8180513381958008,2.2368221282958984
agentflow,14,135d2eddcadcb2365b7c3107b0d7e167a039d174,middle_merge,incremental,49.810125,21.652417,12.775292,8.324541,4.1549882888793945,4.638857841491699,3.9336280822753906,0.8180513381958008,2.716785430908203
agentflow,15,9fd98266044601c28975de64070f6f8a48dfc258,incremental,incremental,27.81825,9.267917,9.0495,6.943625,3.9336280822753906,,3.9743270874023438,0.8180513381958008,2.7574844360351562
agentflow,16,78b8bc384df3f5dad06a3df622d870ee5a89853a,incremental,rebuild,30.027542,12.265125,28.327209,6.758209,3.9743270874023438,,4.441938400268555,0.8180513381958008,0.0
agentflow,17,878588e006d46f2c3c94937d54615b328e237f9f,incremental,incremental,39.492958,22.125625,22.456583,7.190875,4.441938400268555,,5.561031341552734,0.8180513381958008,1.2547540664672852
agentflow,18,e6ec8c6222a334628285f2d93fb5278991a5e36c,middle_merge,incremental,36.919624999999996,10.065334,9.762125,6.7985,5.561031341552734,5.627547264099121,5.616218566894531,0.8180513381958008,1.3212699890136719
agentflow,19,40efd5bcc760bc1aa05029515d2eb46d3dff3c30,middle_merge,incremental,55.579583,31.050375000000003,12.876999999999999,6.703667,5.616218566894531,6.199529647827148,4.852265357971191,0.8180513381958008,1.891331672668457
vllm,1,4ae6228284c4e9776f62d0867f543e621864176c,incremental,incremental,70.98895900000001,47.139374999999994,80.26795800000001,169.27475,0.0,,0.14718055725097656,60.44817352294922,0.14718055725097656
