pair,count,probability_pct,independent_probability_pct,actual_over_independent,weight_frequency
nh,249300,0.01680503368312511,0.14318166,0.1173686188798559,1680503
ni,3892117,0.26236324622408286,0.46127462,0.5687788463715667,26236325
nj,166127,0.011198434940539612,0.01573206,0.7118225420281649,1119843
nk,1445704,0.09745328686654113,0.06511878,1.4965465702296807,9745329
nl,1005552,0.06778313369488095,0.29997122,0.22596545660240658,6778313
nm,462617,0.03118449365177011,0.17915962,0.1740598336375692,3118449
nn,1605082,0.1081967792786916,0.44063044,0.24554994266553987,10819678
no,4283511,0.2887466772444321,0.42934584000000003,0.6725270174841618,28874668
np,1003328,0.06763321634666085,0.2017952,0.33515770616278706,6763322
nq,69159,0.004661930703936019,0.01984762,0.23488613264139574,466193
nr,483111,0.032565971230197575,0.4483969,0.07262755659148752,3256597
ns,15003761,1.0113867187266703,0.44766672,2.2592403534635546,101138672
nt,17718792,1.1944039165033604,0.6194581600000001,1.9281430024319322,119440392
nu,2461230,0.16590875672650626,0.20571161999999998,0.8065113517967837,16590876
nv,1026949,0.06922548149158303,0.08423622,0.8218018506953781,6922548
nw,186413,0.012565891472011237,0.07308437999999999,0.17193675956491983,1256589
nx,40533,0.00273228411663903,0.1155012,0.023655893762480645,273228
ny,454208,0.030617652383252668,0.0786603,0.38923894751548965,3061765
nz,68866,0.004642179902214576,0.01719242,0.27001317453939444,464218
oa,1539749,0.10379275494808747,0.53354532,0.19453409308901343,10379275
